Yellow Circle Dates,Actually Above 10% Slope,Probability Above 10%
2024-10-04,0,0.0
2024-10-05,0,2.0
2024-10-06,0,7.000000000000001
2024-10-11,1,83.0
2024-10-13,1,85.0
2024-10-19,0,1.0
2024-10-29,0,1.0
2024-11-05,1,92.0
2024-11-06,1,86.0
2024-11-07,1,95.0
2024-11-16,1,91.0
2024-11-24,1,94.0
2024-11-29,1,96.0
2024-11-30,1,92.0
2024-12-11,0,5.0
2024-12-23,0,15.0
2024-12-25,0,11.0
2024-12-28,0,1.0
2025-01-02,1,87.0
2025-01-11,0,1.0
2025-01-12,0,2.0
2025-01-17,0,13.0
2025-01-20,0,1.0
2025-01-29,0,1.0
